county,state,poverty_perc,percent_high_cholesterol
Bourbon,KS,14.5,36.7
Brown,KS,13.0,37.2
Butler,KS,8.7,34.4
Chase,KS,10.1,37.2
Chautauqua,KS,18.3,39.5
Cherokee,KS,14.3,37.4
Cheyenne,KS,11.8,37.9
Clark,KS,11.0,35.0
Clay,KS,9.8,36.6
Cloud,KS,12.1,36.0
Coffey,KS,9.6,35.9
Comanche,KS,11.2,37.7
Cowley,KS,14.0,35.9
Crawford,KS,16.6,31.4
Decatur,KS,12.4,38.7
Dickinson,KS,9.8,35.5
Doniphan,KS,12.9,36.2
Douglas,KS,11.8,28.7
Edwards,KS,10.8,36.9
Elk,KS,15.1,40.8
Ellis,KS,16.0,32.1
Ellsworth,KS,10.6,35.0
Finney,KS,12.2,30.0
Ford,KS,10.3,30.5
Franklin,KS,8.9,34.1
Geary,KS,12.5,27.1
Gove,KS,10.1,37.7
Graham,KS,12.5,39.2
Grant,KS,10.1,32.1
Gray,KS,7.0,32.7
Greeley,KS,10.0,35.0
Greenwood,KS,12.7,39.0
Hamilton,KS,10.4,32.6
Harper,KS,13.2,38.5
Harvey,KS,9.3,34.2
Haskell,KS,10.2,34.1
Hodgeman,KS,9.1,38.0
Jackson,KS,9.3,35.7
Jefferson,KS,7.2,36.2
Jewell,KS,13.0,40.0
Johnson,KS,4.6,33.5
Kearny,KS,9.4,34.1
Kingman,KS,9.8,36.1
Kiowa,KS,12.3,35.3
Labette,KS,14.0,37.4
Lane,KS,9.6,38.2
Leavenworth,KS,8.5,32.4
Lincoln,KS,12.7,38.5
Linn,KS,12.5,38.5
Logan,KS,9.1,36.1
Lyon,KS,12.6,32.2
McPherson,KS,7.7,34.4
Marion,KS,10.1,35.7
Marshall,KS,8.7,36.8
Meade,KS,9.3,35.1
Miami,KS,7.6,35.7
Mitchell,KS,10.0,37.1
Montgomery,KS,17.8,36.0
Morris,KS,10.5,36.8
Morton,KS,12.1,36.7
Nemaha,KS,8.3,36.6
Neosho,KS,13.8,35.9
Ness,KS,9.6,38.5
Norton,KS,12.9,35.6
Osage,KS,10.1,37.8
Osborne,KS,11.7,37.3
Ottawa,KS,10.0,36.2
Pawnee,KS,14.9,37.0
Phillips,KS,10.9,38.4
Pottawatomie,KS,6.9,33.3
Pratt,KS,9.6,34.3
Rawlins,KS,11.1,38.3
Reno,KS,10.6,35.8
Republic,KS,9.9,38.7
Rice,KS,10.3,34.0
Riley,KS,19.2,23.6
Rooks,KS,9.6,37.4
Rush,KS,11.2,39.2
Russell,KS,12.9,37.6
Saline,KS,9.8,32.9
Scott,KS,7.3,34.2
Sedgwick,KS,13.4,34.9
Seward,KS,11.5,30.4
Shawnee,KS,10.5,37.9
Sheridan,KS,10.5,37.4
Sherman,KS,13.0,34.1
Smith,KS,10.3,38.6
Stafford,KS,11.0,36.0
Stanton,KS,10.2,34.1
Stevens,KS,9.7,34.1
Sumner,KS,11.3,36.3
Thomas,KS,9.1,32.8
Trego,KS,10.4,38.8
Wabaunsee,KS,8.5,36.9
Wallace,KS,12.5,36.6
Washington,KS,9.9,37.3
Wichita,KS,10.6,34.6
Wilson,KS,14.3,37.9
Woodson,KS,14.0,39.0
Wyandotte,KS,16.9,30.0
Caddo,LA,20.9,35.1
Blue Earth,MN,11.0,24.6
Brown,MN,6.8,32.7
Cottonwood,MN,11.2,34.5
Faribault,MN,10.3,34.1
Jackson,MN,7.6,33.0
Le Sueur,MN,6.7,31.4
Lincoln,MN,8.7,33.2
Lyon,MN,8.8,29.3
Martin,MN,9.9,34.3
Murray,MN,7.6,34.4
Nicollet,MN,7.2,27.8
Nobles,MN,9.4,30.6
Pipestone,MN,9.2,32.1
Redwood,MN,8.6,31.5
Rock,MN,8.2,32.4
Sibley,MN,7.9,31.9
Watonwan,MN,9.7,30.7
Andrew,MO,9.1,36.2
Atchison,MO,12.0,38.2
Barry,MO,16.0,36.6
Barton,MO,16.6,37.8
Bates,MO,14.8,37.2
Buchanan,MO,13.1,33.8
Caldwell,MO,12.4,37.3
Cass,MO,6.8,33.4
Cedar,MO,18.5,39.1
Clay,MO,7.7,31.1
Clinton,MO,9.5,36.5
Dade,MO,14.1,39.3
Daviess,MO,14.1,39.1
DeKalb,MO,12.8,34.3
Gentry,MO,13.0,36.6
Harrison,MO,17.8,39.3
Henry,MO,13.6,38.7
Holt,MO,12.2,39.5
Jackson,MO,12.4,33.0
Jasper,MO,15.2,33.2
Johnson,MO,10.8,28.6
Lafayette,MO,10.4,36.5
Lawrence,MO,15.2,37.3
McDonald,MO,17.6,36.7
Newton,MO,13.9,35.4
Nodaway,MO,15.2,29.6
Platte,MO,5.4,32.4
Ray,MO,10.0,36.7
St. Clair,MO,18.7,39.6
Vernon,MO,15.0,36.6
Worth,MO,13.8,38.6
Adams,NE,10.2,34.2
Antelope,NE,10.4,35.8
Arthur,NE,12.3,33.7
Banner,NE,10.1,35.6
Blaine,NE,13.3,36.5
Boone,NE,8.7,37.3
Box Butte,NE,9.5,33.8
Boyd,NE,12.9,37.4
Brown,NE,10.8,37.7
Buffalo,NE,9.5,29.5
Burt,NE,11.5,37.0
Butler,NE,7.5,32.7
Cass,NE,5.9,33.6
Cedar,NE,8.5,33.8
Chase,NE,8.2,34.7
Cherry,NE,11.4,35.7
Cheyenne,NE,10.0,32.8
Clay,NE,9.1,34.0
Colfax,NE,8.2,31.4
Cuming,NE,7.9,33.9
Custer,NE,9.8,35.0
Dakota,NE,9.9,30.8
Dawes,NE,14.7,29.6
Dawson,NE,8.6,31.0
Deuel,NE,10.3,36.2
Dixon,NE,7.9,34.8
Dodge,NE,9.7,34.5
Douglas,NE,9.8,29.5
Dundy,NE,12.2,37.5
Fillmore,NE,8.5,35.6
Franklin,NE,10.4,37.8
Frontier,NE,13.0,33.6
Furnas,NE,10.0,37.3
Gage,NE,8.5,32.8
Garden,NE,13.9,37.7
Garfield,NE,11.6,36.5
Gosper,NE,7.9,34.7
Grant,NE,9.2,36.5
Greeley,NE,12.2,35.5
Hall,NE,11.8,29.9
Hamilton,NE,6.7,33.3
Harlan,NE,9.9,37.4
Hayes,NE,14.7,38.2
Hitchcock,NE,12.0,38.4
Holt,NE,10.9,35.5
Hooker,NE,7.9,37.5
Howard,NE,8.8,35.1
Jefferson,NE,9.9,35.4
Johnson,NE,12.3,33.7
Kearney,NE,7.6,33.5
Keith,NE,11.7,35.7
Keya Paha,NE,17.3,38.5
Kimball,NE,11.0,35.7
Knox,NE,13.6,34.3
Lancaster,NE,9.4,29.7
Lincoln,NE,9.4,33.1
Logan,NE,9.3,35.0
Loup,NE,15.1,37.1
McPherson,NE,13.1,36.8
Madison,NE,10.6,31.5
Merrick,NE,9.6,33.7
Morrill,NE,12.5,32.5
Nance,NE,11.4,35.4
Nemaha,NE,11.8,31.1
Nuckolls,NE,9.8,36.7
Otoe,NE,8.4,34.0
Pawnee,NE,12.7,38.7
Perkins,NE,10.0,33.6
Phelps,NE,11.3,34.1
Pierce,NE,8.2,32.9
Platte,NE,6.6,29.7
Polk,NE,7.3,35.0
Red Willow,NE,9.5,35.1
Richardson,NE,9.5,36.2
Rock,NE,13.3,36.7
Saline,NE,8.0,30.0
Sarpy,NE,4.9,29.8
Saunders,NE,5.7,33.2
Scotts Bluff,NE,12.4,32.6
Seward,NE,6.8,30.5
Sheridan,NE,13.8,37.1
Sherman,NE,11.4,36.8
Sioux,NE,15.3,36.8
Stanton,NE,6.9,34.5
Thayer,NE,9.8,36.3
Thomas,NE,12.3,35.6
Thurston,NE,18.2,29.6
Valley,NE,11.2,35.1
Washington,NE,5.3,35.1
Wayne,NE,9.5,28.8
Webster,NE,10.2,34.6
Wheeler,NE,12.4,39.5
York,NE,9.3,31.5
Bernalillo,NM,15.3,28.6
Chaves,NM,19.2,33.4
Colfax,NM,17.2,36.1
Curry,NM,14.9,28.2
De Baca,NM,17.0,35.6
Eddy,NM,12.8,30.1
Guadalupe,NM,22.8,31.7
Harding,NM,15.1,38.9
Lea,NM,12.6,28.9
Lincoln,NM,16.9,35.1
Los Alamos,NM,3.3,30.7
Mora,NM,19.8,35.3
Otero,NM,15.5,32.8
Quay,NM,22.0,35.3
Rio Arriba,NM,19.7,32.1
Roosevelt,NM,18.2,27.6
San Miguel,NM,20.9,31.6
Santa Fe,NM,12.5,31.1
Taos,NM,18.9,34.1
Torrance,NM,21.4,32.7
Union,NM,19.0,32.2
Adair,OK,22.3,39.1
Alfalfa,OK,15.7,37.9
Atoka,OK,18.6,37.9
Beaver,OK,11.0,35.3
Beckham,OK,18.8,34.6
Blaine,OK,14.5,38.4
Bryan,OK,15.9,37.1
Caddo,OK,18.3,34.8
Canadian,OK,7.6,34.4
Carter,OK,19.0,36.4
Cherokee,OK,19.6,35.1
Choctaw,OK,19.5,39.2
Cimarron,OK,15.1,39.6
Cleveland,OK,10.8,31.3
Coal,OK,19.3,39.5
Comanche,OK,15.8,32.8
Cotton,OK,17.4,39.5
Craig,OK,17.5,37.5
Creek,OK,12.9,35.7
Custer,OK,12.8,33.5
Delaware,OK,18.1,38.7
Dewey,OK,10.6,37.1
Ellis,OK,11.2,39.5
Garfield,OK,11.8,33.2
Garvin,OK,16.7,38.9
Grady,OK,12.0,37.4
Grant,OK,11.7,37.8
Greer,OK,22.9,36.5
Harmon,OK,23.3,37.5
Harper,OK,10.5,37.2
Haskell,OK,19.4,38.6
Hughes,OK,21.4,37.0
Jackson,OK,15.0,33.8
Jefferson,OK,17.8,39.8
Johnston,OK,18.3,38.6
Kay,OK,15.3,38.8
Kingfisher,OK,9.0,36.5
Kiowa,OK,18.0,39.4
Latimer,OK,15.9,38.2
Le Flore,OK,18.1,39.0
Lincoln,OK,13.8,38.7
Logan,OK,11.0,34.9
Love,OK,11.7,37.5
McClain,OK,10.4,36.6
McCurtain,OK,18.9,38.0
McIntosh,OK,22.5,41.8
Major,OK,11.5,38.0
Marshall,OK,13.7,38.9
Mayes,OK,16.9,38.4
Murray,OK,14.3,38.3
Muskogee,OK,18.2,36.8
Noble,OK,11.8,38.1
Nowata,OK,16.5,38.3
Okfuskee,OK,21.7,37.7
Oklahoma,OK,15.2,32.4
Okmulgee,OK,14.6,36.8
Osage,OK,13.0,38.4
Ottawa,OK,18.5,36.9
Pawnee,OK,15.7,38.9
Payne,OK,20.1,30.0
Pittsburg,OK,16.5,38.0
Pontotoc,OK,14.4,34.9
Pottawatomie,OK,16.0,36.5
Pushmataha,OK,17.4,40.4
