county,state,poverty_perc,percent_high_cholesterol
Champaign,IL,15.1,26.9
Christian,IL,9.9,35.4
Clark,IL,10.4,35.3
Clay,IL,13.3,36.4
Clinton,IL,7.1,33.7
Coles,IL,17.5,32.0
Cook,IL,12.9,29.3
Crawford,IL,11.0,34.5
Cumberland,IL,8.9,36.5
DeKalb,IL,10.8,28.5
De Witt,IL,9.9,35.5
Douglas,IL,8.2,34.6
DuPage,IL,5.9,32.5
Edgar,IL,11.7,36.7
Edwards,IL,10.7,36.1
Effingham,IL,9.3,34.2
Fayette,IL,14.7,35.4
Ford,IL,9.5,35.1
Fulton,IL,13.2,35.2
Greene,IL,13.3,36.2
Grundy,IL,5.9,31.3
Hancock,IL,11.2,36.1
Henderson,IL,10.6,37.4
Henry,IL,9.6,35.0
Iroquois,IL,11.2,37.4
Jasper,IL,9.6,35.8
Jersey,IL,8.5,35.0
Jo Daviess,IL,9.1,38.3
Kane,IL,7.3,32.1
Kankakee,IL,13.6,32.2
Kendall,IL,3.9,28.8
Knox,IL,13.4,35.9
Lake,IL,7.0,30.2
LaSalle,IL,11.4,33.9
Lawrence,IL,16.5,33.1
Lee,IL,10.6,33.5
Livingston,IL,9.9,35.4
Logan,IL,11.6,32.4
McDonough,IL,16.8,31.1
McHenry,IL,6.3,31.1
McLean,IL,10.7,29.0
Macon,IL,12.8,34.2
Macoupin,IL,10.8,35.7
Madison,IL,11.0,34.2
Marion,IL,14.2,36.4
Marshall,IL,9.3,36.4
Mason,IL,13.4,36.9
Menard,IL,7.9,34.9
Mercer,IL,8.8,35.3
Montgomery,IL,13.5,36.1
Morgan,IL,12.4,35.3
Moultrie,IL,9.1,35.5
Ogle,IL,8.3,34.8
Peoria,IL,14.2,34.1
Piatt,IL,6.4,35.2
Pike,IL,13.5,36.4
Putnam,IL,7.3,36.0
Richland,IL,11.9,35.8
Rock Island,IL,13.5,33.1
St. Clair,IL,13.8,31.8
Sangamon,IL,12.8,34.2
Schuyler,IL,11.7,36.5
Scott,IL,10.8,36.1
Shelby,IL,8.9,36.9
Stark,IL,10.8,36.8
Stephenson,IL,11.2,36.9
Tazewell,IL,7.6,33.5
Vermilion,IL,18.6,35.6
Wabash,IL,11.7,35.8
Warren,IL,10.7,33.6
Wayne,IL,12.9,36.9
Whiteside,IL,9.1,35.9
Will,IL,7.2,31.7
Winnebago,IL,14.6,33.4
Woodford,IL,6.2,33.5
Benton,IN,10.7,35.1
Fountain,IN,10.9,37.2
Knox,IN,15.9,35.9
Lake,IN,15.8,31.1
Newton,IN,10.5,36.1
Parke,IN,14.3,37.4
Pike,IN,9.7,37.4
Sullivan,IN,15.5,35.6
Vermillion,IN,11.9,36.2
Vigo,IN,20.7,33.7
Warren,IN,8.1,36.6
Allamakee,IA,10.9,33.8
Appanoose,IA,14.6,37.1
Benton,IA,7.5,34.2
Black Hawk,IA,12.2,30.5
Bremer,IA,5.6,32.6
Buchanan,IA,8.3,34.2
Butler,IA,8.4,35.3
Cedar,IA,7.3,33.9
Cerro Gordo,IA,10.6,34.9
Chickasaw,IA,8.3,35.0
Clayton,IA,10.4,38.0
Clinton,IA,12.5,35.8
Davis,IA,11.7,34.3
Delaware,IA,8.4,35.6
Des Moines,IA,13.0,34.7
Dubuque,IA,8.9,31.5
Fayette,IA,11.8,34.8
Floyd,IA,9.3,35.9
Franklin,IA,10.5,33.8
Grundy,IA,5.5,35.1
Hardin,IA,9.6,35.7
Henry,IA,10.8,32.8
Howard,IA,10.5,35.6
Iowa,IA,6.4,33.0
Jackson,IA,11.4,35.5
Jasper,IA,8.5,34.5
Jefferson,IA,14.8,34.1
Johnson,IA,14.1,25.3
Jones,IA,9.9,35.2
Keokuk,IA,13.7,36.2
Lee,IA,11.5,35.1
Linn,IA,8.1,32.1
Louisa,IA,9.1,32.4
Lucas,IA,13.5,36.2
Mahaska,IA,10.2,33.5
Marion,IA,8.0,32.8
Marshall,IA,10.1,33.6
Mitchell,IA,8.9,35.0
Monroe,IA,11.4,35.0
Muscatine,IA,10.2,34.5
Polk,IA,11.5,31.3
Poweshiek,IA,11.6,33.3
Scott,IA,12.1,31.8
Story,IA,12.4,25.5
Tama,IA,10.8,33.5
Van Buren,IA,14.4,36.5
Wapello,IA,15.5,33.8
Warren,IA,4.9,31.5
Washington,IA,7.1,35.0
Wayne,IA,13.0,36.6
Winneshiek,IA,9.2,33.0
Worth,IA,8.5,33.7
Dodge,MN,5.9,29.7
Fillmore,MN,8.2,32.9
Freeborn,MN,10.0,33.1
Goodhue,MN,7.2,32.3
Houston,MN,6.4,33.3
Mower,MN,8.7,30.4
Olmsted,MN,6.4,29.5
Rice,MN,8.4,29.0
Steele,MN,7.3,31.4
Wabasha,MN,6.1,34.5
Waseca,MN,7.6,30.3
Winona,MN,11.0,28.0
Adair,MO,17.9,29.8
Audrain,MO,17.8,36.2
Boone,MO,12.8,28.6
Callaway,MO,11.4,34.9
Carroll,MO,13.4,36.8
Chariton,MO,12.0,39.2
Clark,MO,12.3,38.7
Cole,MO,9.3,34.3
Cooper,MO,13.6,34.1
Franklin,MO,9.1,36.9
Gasconade,MO,11.2,37.7
Grundy,MO,15.1,37.9
Howard,MO,12.7,34.9
Knox,MO,14.2,38.8
Lewis,MO,14.4,35.7
Lincoln,MO,9.4,33.5
Linn,MO,14.7,36.9
Livingston,MO,12.8,35.7
Macon,MO,13.0,38.4
Marion,MO,14.3,35.9
Mercer,MO,13.6,38.0
Moniteau,MO,11.6,33.6
Monroe,MO,13.0,38.0
Montgomery,MO,13.0,38.4
Morgan,MO,15.0,40.9
Osage,MO,8.5,35.5
Pettis,MO,15.5,36.0
Pike,MO,14.9,34.1
Putnam,MO,15.2,38.0
Ralls,MO,11.4,37.4
Randolph,MO,12.1,34.8
St. Charles,MO,5.0,33.3
St. Louis County,MO,9.1,31.5
Saline,MO,13.1,35.6
Schuyler,MO,15.2,36.4
Scotland,MO,14.3,36.4
Shelby,MO,14.6,38.1
Sullivan,MO,15.6,35.7
Warren,MO,9.0,35.5
St. Louis City,MO,20.8,29.4
Adams,WI,12.3,40.3
Brown,WI,8.5,32.9
Buffalo,WI,8.0,36.8
Calumet,WI,4.5,33.2
Columbia,WI,6.9,35.0
Crawford,WI,13.3,37.8
Dane,WI,9.6,30.7
Dodge,WI,7.2,34.9
Fond du Lac,WI,7.6,35.2
Grant,WI,12.0,33.0
Green,WI,7.4,34.4
Green Lake,WI,9.7,36.6
Iowa,WI,7.2,35.2
Jackson,WI,12.7,35.5
Jefferson,WI,7.3,33.3
Juneau,WI,11.9,36.1
Kenosha,WI,11.0,31.3
Kewaunee,WI,6.7,35.9
La Crosse,WI,10.0,30.8
Lafayette,WI,8.8,36.5
Manitowoc,WI,7.9,37.6
Marquette,WI,10.3,38.4
Milwaukee,WI,19.0,32.3
Monroe,WI,10.5,33.8
Outagamie,WI,6.6,32.4
Ozaukee,WI,4.3,35.5
Pepin,WI,9.1,37.3
Portage,WI,8.3,32.7
Racine,WI,9.4,35.2
Richland,WI,13.4,36.6
Rock,WI,9.3,32.8
Sauk,WI,8.1,35.1
Sheboygan,WI,7.6,33.7
Trempealeau,WI,7.3,34.9
Vernon,WI,11.9,37.3
Walworth,WI,8.3,32.2
Washington,WI,5.1,33.7
Waukesha,WI,4.2,33.7
Waupaca,WI,8.0,35.7
Waushara,WI,10.5,37.7
Winnebago,WI,8.7,34.0
Wood,WI,9.4,36.1
Autauga,AL,11.2,36.4
Blount,AL,13.1,37.5
Calhoun,AL,14.5,36.1
Chambers,AL,16.3,37.7
Cherokee,AL,14.7,40.5
Chilton,AL,13.9,35.1
Clay,AL,14.2,39.7
Cleburne,AL,14.2,39.1
Coosa,AL,17.4,41.4
Cullman,AL,12.5,38.0
Dallas,AL,26.7,38.7
DeKalb,AL,15.2,37.9
Elmore,AL,11.5,36.8
Etowah,AL,15.6,38.0
Jackson,AL,15.3,40.0
Jefferson,AL,14.4,31.9
Lee,AL,17.9,31.8
Limestone,AL,10.4,36.3
Lowndes,AL,21.9,37.5
Macon,AL,27.9,34.6
Madison,AL,10.5,33.1
Marshall,AL,15.4,39.0
Montgomery,AL,20.4,33.6
Morgan,AL,14.4,36.3
Randolph,AL,17.5,38.5
Russell,AL,20.3,34.7
St. Clair,AL,10.5,37.7
Shelby,AL,7.0,34.8
Talladega,AL,16.9,37.2
Tallapoosa,AL,15.2,39.2
Bartow,GA,10.2,34.6
Butts,GA,20.8,35.5
Carroll,GA,16.8,32.0
Catoosa,GA,10.1,36.1
Chattahoochee,GA,15.6,20.7
Chattooga,GA,18.8,37.6
Cherokee,GA,6.7,33.8
Clayton,GA,16.8,29.3
Cobb,GA,9.2,29.5
Coweta,GA,8.6,33.3
Crawford,GA,16.1,37.7
Dade,GA,13.0,36.4
Dawson,GA,8.7,36.3
DeKalb,GA,15.8,29.8
Douglas,GA,11.5,32.8
Fannin,GA,15.6,40.4
Fayette,GA,5.3,33.9
Floyd,GA,18.4,34.1
Forsyth,GA,5.1,33.9
Fulton,GA,13.0,29.1
Gilmer,GA,14.0,38.9
Gordon,GA,11.8,35.4
Gwinnett,GA,10.4,31.2
Haralson,GA,15.5,37.6
Harris,GA,9.0,36.6
Heard,GA,16.4,36.7
Henry,GA,8.7,31.7
Lamar,GA,13.8,34.6
Lumpkin,GA,12.5,33.3
Macon,GA,31.1,35.6
Marion,GA,20.6,38.1
Meriwether,GA,22.1,36.6
Monroe,GA,12.8,36.6
Murray,GA,15.9,35.7
Muscogee,GA,21.1,31.0
Paulding,GA,7.3,31.8
Pickens,GA,10.5,37.1
Pike,GA,10.1,35.8
Polk,GA,16.3,34.2
Rockdale,GA,12.7,33.8
Schley,GA,15.0,36.2
Spalding,GA,17.9,34.8
Talbot,GA,20.8,39.2
Taylor,GA,23.2,38.7
Troup,GA,16.4,34.0
Union,GA,12.9,41.0
Upson,GA,15.2,37.7
Walker,GA,14.1,35.9
Whitfield,GA,13.0,32.4
Crawford,IN,15.6,37.9
Dubois,IN,6.7,34.8
Floyd,IN,11.5,32.3
Harrison,IN,8.8,36.5
Perry,IN,12.3,34.9
Spencer,IN,7.9,36.2
Adair,KY,22.1,40.7
Allen,KY,15.3,37.9
Anderson,KY,10.0,36.8
Barren,KY,17.3,37.9
Bourbon,KY,14.1,38.3
Boyle,KY,14.0,35.8
Breckinridge,KY,17.1,40.5
Bullitt,KY,8.7,36.1
Butler,KY,17.1,39.3
Casey,KY,22.7,39.3
Clark,KY,14.4,37.2
Clinton,KY,21.5,40.4
Cumberland,KY,21.0,41.6
Daviess,KY,13.4,38.8
Edmonson,KY,15.8,39.7
Estill,KY,20.6,40.1
Fayette,KY,14.6,31.7
Franklin,KY,12.8,37.2
Garrard,KY,14.0,38.7
Grayson,KY,20.5,38.5
Green,KY,20.1,40.6
Hancock,KY,14.4,38.2
Hardin,KY,11.2,35.6
Hart,KY,22.1,38.5
Jackson,KY,24.0,38.8
Jefferson,KY,11.4,35.3
Jessamine,KY,10.5,35.7
Larue,KY,14.7,38.5
Laurel,KY,17.9,38.3
Lincoln,KY,18.4,39.4
Logan,KY,15.1,37.8
McCreary,KY,36.2,39.7
Madison,KY,15.5,33.8
Marion,KY,15.7,38.7
Meade,KY,11.6,35.6
Mercer,KY,13.1,38.3
Metcalfe,KY,21.4,40.6
Monroe,KY,22.5,40.3
Montgomery,KY,15.7,37.9
Muhlenberg,KY,16.9,39.5
Nelson,KY,9.2,36.6
Nicholas,KY,16.8,39.7
Ohio,KY,15.0,39.0
Pulaski,KY,19.1,39.6
Rockcastle,KY,22.4,39.5
Russell,KY,18.1,40.4
Scott,KY,8.0,31.9
Shelby,KY,8.4,35.5
Simpson,KY,12.0,37.0
Spencer,KY,6.8,36.2
Taylor,KY,15.9,37.5
Warren,KY,18.7,32.2
Washington,KY,14.2,38.1
Wayne,KY,23.6,40.5
Whitley,KY,21.7,36.7
Woodford,KY,9.1,37.0
Cherokee,NC,15.1,41.3
Anderson,TN,13.3,39.3
Bedford,TN,13.0,33.5
Bledsoe,TN,20.8,39.4
Blount,TN,9.2,39.1
Bradley,TN,13.8,34.8
Campbell,TN,20.0,38.6
Cannon,TN,13.3,38.4
Cheatham,TN,8.7,36.2
Clay,TN,21.0,42.0
Coffee,TN,13.8,36.5
Cumberland,TN,12.0,41.7
Davidson,TN,12.8,30.3
DeKalb,TN,17.5,38.4
Fentress,TN,19.4,41.1
Franklin,TN,13.9,37.2
Giles,TN,12.5,36.5
Grundy,TN,18.2,40.1
Hamilton,TN,13.3,36.1
Jackson,TN,16.8,40.5
Knox,TN,10.9,33.9
Lincoln,TN,12.4,39.1
Loudon,TN,10.6,40.2
McMinn,TN,14.0,38.0
Macon,TN,16.7,37.3
Marion,TN,14.7,39.1
Marshall,TN,12.1,36.5
Maury,TN,9.9,36.0
Meigs,TN,16.0,39.1
Monroe,TN,13.8,37.9
Moore,TN,9.8,38.7
Morgan,TN,18.8,38.7
Overton,TN,16.3,39.5
Pickett,TN,16.5,42.8
Polk,TN,12.4,39.8
Putnam,TN,17.0,34.7
Rhea,TN,15.0,37.4
Roane,TN,13.5,39.8
Robertson,TN,9.2,35.2
Rutherford,TN,8.8,30.1
Scott,TN,19.8,38.8
Sequatchie,TN,16.1,39.5
Smith,TN,11.7,36.7
Sumner,TN,9.6,34.7
Trousdale,TN,15.4,32.0
Van Buren,TN,16.1,41.6
Warren,TN,16.5,37.2
White,TN,13.8,38.5
Williamson,TN,4.1,32.2
Wilson,TN,8.0,35.4
Baldwin,GA,22.6,31.9
Banks,GA,11.6,36.8
Barrow,GA,10.1,32.8
Bibb,GA,28.0,33.3
Bleckley,GA,18.5,33.6
Bulloch,GA,20.7,29.4
Burke,GA,20.0,34.9
Candler,GA,20.1,36.4
Clarke,GA,24.6,27.3
Columbia,GA,6.7,30.6
Dodge,GA,21.4,36.9
Dooly,GA,27.0,35.8
Effingham,GA,8.1,32.0
Elbert,GA,23.8,38.1
Emanuel,GA,26.4,35.5
Evans,GA,19.6,35.7
Franklin,GA,16.3,36.8
Glascock,GA,15.5,37.5
Greene,GA,15.3,39.8
Habersham,GA,13.7,34.8
Hall,GA,12.7,33.7
Hancock,GA,30.7,37.8
Hart,GA,14.4,37.9
Houston,GA,10.8,32.6
Jackson,GA,9.1,33.2
Jasper,GA,14.0,37.2
Jefferson,GA,21.1,37.2
Jenkins,GA,28.0,34.7
Johnson,GA,25.9,36.6
Jones,GA,11.6,36.2
Laurens,GA,20.7,37.0
Lincoln,GA,16.5,39.4
McDuffie,GA,16.7,36.9
Madison,GA,14.5,36.6
Montgomery,GA,19.3,34.0
Morgan,GA,11.6,35.7
Newton,GA,14.4,32.9
Oconee,GA,6.0,32.8
Oglethorpe,GA,13.4,37.1
Peach,GA,19.2,34.0
Pulaski,GA,20.4,37.0
Putnam,GA,16.3,38.8
Rabun,GA,13.8,39.6
Richmond,GA,25.5,31.4
Screven,GA,20.7,37.0
Stephens,GA,16.9,36.4
Taliaferro,GA,23.2,39.2
Toombs,GA,22.2,35.9
Towns,GA,13.2,40.0
Treutlen,GA,23.4,36.2
Twiggs,GA,20.0,39.4
Walton,GA,11.4,34.9
Warren,GA,23.4,39.4
Washington,GA,21.3,35.2
White,GA,12.5,38.0
Wilkes,GA,20.2,38.3
Wilkinson,GA,20.1,38.2
Bath,KY,22.5,39.0
Bell,KY,29.8,42.1
Boyd,KY,15.8,37.0
Breathitt,KY,27.9,40.6
Carter,KY,18.5,39.7
Clay,KY,37.3,39.9
Elliott,KY,28.8,40.2
Fleming,KY,14.6,39.2
Floyd,KY,28.3,43.4
Harlan,KY,28.0,41.1
Johnson,KY,22.5,39.6
Knott,KY,27.7,41.8
Knox,KY,27.8,38.9
Lawrence,KY,22.3,41.0
Lee,KY,32.1,40.3
Leslie,KY,25.8,41.1
Letcher,KY,24.4,39.6
Magoffin,KY,30.9,40.0
Martin,KY,31.9,36.7
Menifee,KY,22.7,40.4
Morgan,KY,24.5,39.0
Owsley,KY,30.6,40.8
Perry,KY,22.0,38.4
Pike,KY,23.7,40.5
Powell,KY,20.5,38.2
Rowan,KY,24.4,35.3
Wolfe,KY,29.7,42.9
Alexander,NC,11.8,36.9
Alleghany,NC,18.1,41.1
Ashe,NC,14.5,39.6
Avery,NC,15.8,37.4
Buncombe,NC,13.9,33.4
Burke,NC,18.4,36.5
Caldwell,NC,13.0,37.8
Catawba,NC,11.6,35.8
Clay,NC,16.4,42.0
Cleveland,NC,15.0,36.5
Gaston,NC,11.8,35.5
Graham,NC,16.6,39.2
Haywood,NC,13.6,37.5
Henderson,NC,11.0,37.9
Iredell,NC,9.7,35.3
Jackson,NC,16.6,34.7
Lincoln,NC,11.9,36.1
McDowell,NC,15.2,37.1
Macon,NC,12.9,40.8
Madison,NC,14.0,37.5
Mecklenburg,NC,11.0,29.7
Mitchell,NC,14.0,38.9
Polk,NC,12.0,40.7
Rutherford,NC,19.1,37.5
Surry,NC,15.4,37.5
Swain,NC,13.9,36.4
Transylvania,NC,12.6,40.4
Watauga,NC,15.8,32.1
Wilkes,NC,14.4,39.0
Yadkin,NC,12.1,37.8
Yancey,NC,14.9,39.2
Abbeville,SC,15.3,39.5
Aiken,SC,13.0,35.9
Allendale,SC,31.6,38.1
Anderson,SC,14.0,37.1
Bamberg,SC,21.0,38.2
Barnwell,SC,21.6,39.5
Beaufort,SC,9.6,38.7
Calhoun,SC,15.5,40.4
Cherokee,SC,14.6,37.1
Chester,SC,18.3,40.3
Colleton,SC,20.1,38.5
Edgefield,SC,16.8,36.7
Fairfield,SC,17.6,40.3
Greenville,SC,12.1,33.7
Greenwood,SC,16.4,38.0
Hampton,SC,19.6,37.6
Jasper,SC,18.4,37.5
Lancaster,SC,11.4,38.3
Laurens,SC,18.4,37.7
Lexington,SC,10.4,35.4
McCormick,SC,17.0,45.3
Newberry,SC,16.4,35.8
Oconee,SC,11.1,38.3
Orangeburg,SC,19.1,38.3
Pickens,SC,15.3,36.3
Richland,SC,16.0,30.0
Saluda,SC,17.4,38.1
Spartanburg,SC,14.2,37.5
Union,SC,14.9,40.4
York,SC,8.8,35.3
Carter,TN,16.1,40.2
Claiborne,TN,18.9,38.1
Cocke,TN,19.7,41.2
Grainger,TN,14.2,39.5
Greene,TN,16.4,39.4
Hamblen,TN,15.0,37.5
Hancock,TN,28.6,41.8
Hawkins,TN,15.5,40.4
Jefferson,TN,12.9,38.4
Johnson,TN,18.6,40.0
Sevier,TN,13.8,38.9
Sullivan,TN,13.6,42.2
Unicoi,TN,16.2,38.8
Union,TN,16.9,39.1
Washington,TN,13.2,36.7
Bland,VA,12.1,37.2
Buchanan,VA,23.7,40.4
Carroll,VA,13.2,38.2
Dickenson,VA,19.3,40.0
Giles,VA,10.7,36.8
Grayson,VA,16.2,38.9
Lee,VA,26.0,38.4
Pulaski,VA,12.5,38.1
Russell,VA,16.2,38.5
Scott,VA,17.6,38.6
Smyth,VA,15.2,37.4
Tazewell,VA,16.4,37.6
Washington,VA,13.2,37.9
Wise,VA,20.3,37.9
Wythe,VA,12.0,38.0
Bristol,VA,17.2,36.8
Galax,VA,18.8,36.8
Norton,VA,20.5,34.9
Boone,WV,17.8,39.6
Fayette,WV,20.8,38.5
Kanawha,WV,15.7,41.4
Lincoln,WV,20.6,40.0
Logan,WV,22.3,41.3
McDowell,WV,31.8,44.0
Mercer,WV,15.1,41.7
Mingo,WV,24.9,42.0
Nicholas,WV,19.0,40.9
Raleigh,WV,21.8,41.0
Summers,WV,21.1,41.0
Wayne,WV,17.1,39.9
Wyoming,WV,21.3,40.6
Adams,IN,11.8,34.5
Allen,IN,11.4,30.3
Bartholomew,IN,9.1,34.2
Blackford,IN,13.4,37.6
Boone,IN,5.2,32.7
Brown,IN,9.9,38.6
Carroll,IN,7.8,35.8
Cass,IN,10.7,34.0
Clark,IN,8.6,34.5
Clay,IN,9.8,36.5
Clinton,IN,10.0,33.5
Daviess,IN,10.9,34.4
Dearborn,IN,7.8,33.5
Decatur,IN,10.0,34.7
DeKalb,IN,8.8,35.2
Delaware,IN,19.4,33.4
Elkhart,IN,9.8,32.4
Fayette,IN,13.5,36.9
Franklin,IN,7.7,34.9
Fulton,IN,12.0,35.1
Grant,IN,16.7,35.1
Greene,IN,11.2,36.0
Hamilton,IN,4.2,29.7
Hancock,IN,5.1,34.2
Hendricks,IN,5.2,34.1
Henry,IN,10.8,36.6
Howard,IN,11.5,36.5
Huntington,IN,9.1,35.1
Jackson,IN,10.3,34.3
Jasper,IN,8.3,35.5
Jay,IN,13.9,36.1
Jefferson,IN,12.7,34.8
Jennings,IN,10.8,35.6
Johnson,IN,6.7,33.8
Kosciusko,IN,8.2,34.2
LaGrange,IN,8.8,34.9
LaPorte,IN,12.1,36.3
Lawrence,IN,11.8,37.1
Madison,IN,12.1,34.6
Marion,IN,14.4,31.1
Marshall,IN,9.3,34.1
Martin,IN,11.2,36.7
Miami,IN,13.1,35.6
Monroe,IN,18.2,28.5
Montgomery,IN,10.8,35.6
Morgan,IN,8.5,34.5
Noble,IN,9.9,33.8
Ohio,IN,9.8,38.0
Orange,IN,13.0,37.7
Owen,IN,11.7,37.9
Porter,IN,8.6,31.6
Pulaski,IN,11.2,36.3
Putnam,IN,11.3,34.5
Randolph,IN,12.4,36.8
Ripley,IN,9.5,34.7
Rush,IN,9.7,36.1
St. Joseph,IN,12.7,31.2
Scott,IN,13.9,36.8
Shelby,IN,9.4,36.7
Starke,IN,14.2,36.0
Steuben,IN,9.6,35.0
Switzerland,IN,14.0,37.0
Tippecanoe,IN,16.1,28.4
Tipton,IN,7.3,36.7
Union,IN,10.0,36.2
Wabash,IN,10.6,36.2
Washington,IN,13.4,36.3
Wayne,IN,15.1,35.3
Wells,IN,8.2,35.1
White,IN,9.0,36.0
Whitley,IN,7.2,35.8
Boone,KY,6.5,34.7
Bracken,KY,13.2,38.1
Campbell,KY,10.6,35.9
Carroll,KY,16.2,37.7
Gallatin,KY,13.3,37.4
Grant,KY,12.8,37.6
Greenup,KY,13.0,38.6
Harrison,KY,13.5,38.6
Henry,KY,14.2,38.0
Kenton,KY,11.0,35.1
Lewis,KY,22.2,41.3
Mason,KY,15.7,36.4
Oldham,KY,5.0,35.6
Owen,KY,15.1,39.9
Pendleton,KY,13.6,38.5
Robertson,KY,17.9,41.0
Trimble,KY,12.2,38.4
Allegan,MI,7.3,34.0
Arenac,MI,12.8,40.4
Barry,MI,7.6,37.3
Bay,MI,12.7,37.0
Benzie,MI,9.5,38.5
Berrien,MI,15.1,35.9
Branch,MI,14.1,36.1
Calhoun,MI,15.1,35.9
Cass,MI,11.1,37.7
Clare,MI,18.0,40.7
Clinton,MI,7.9,34.7
Eaton,MI,7.8,35.6
Genesee,MI,18.3,37.6
Gladwin,MI,16.6,41.2
Gratiot,MI,13.7,33.9
Hillsdale,MI,12.6,37.7
Huron,MI,11.6,38.1
Ingham,MI,13.8,31.4
Ionia,MI,9.6,32.8
Iosco,MI,13.8,41.1
Isabella,MI,17.4,29.1
Jackson,MI,12.6,35.9
Kalamazoo,MI,12.0,32.1
Kent,MI,11.1,31.5
Lake,MI,19.2,42.7
Lapeer,MI,8.2,36.4
Lenawee,MI,9.5,33.7
Livingston,MI,5.3,33.5
Macomb,MI,9.2,37.0
Manistee,MI,12.4,38.2
Mason,MI,12.3,37.6
Mecosta,MI,13.6,34.1
Midland,MI,10.1,35.6
Missaukee,MI,12.6,36.9
Monroe,MI,9.7,35.0
Montcalm,MI,13.1,34.6
Muskegon,MI,12.3,37.2
Newaygo,MI,12.3,36.5
Oakland,MI,7.8,34.4
Oceana,MI,13.3,37.9
Ogemaw,MI,15.1,40.7
Osceola,MI,14.2,38.2
Ottawa,MI,6.7,31.1
Roscommon,MI,15.8,42.0
Saginaw,MI,15.9,35.8
St. Clair,MI,12.4,36.6
St. Joseph,MI,13.0,36.9
Sanilac,MI,15.3,39.3
Shiawassee,MI,11.6,36.1
Tuscola,MI,11.4,36.7
Van Buren,MI,14.1,35.2
Washtenaw,MI,12.0,27.9
Wayne,MI,20.0,34.7
Wexford,MI,11.4,37.3
Adams,OH,20.6,37.2
Allen,OH,12.9,31.6
Ashland,OH,11.4,33.4
Ashtabula,OH,16.5,36.7
Athens,OH,22.0,26.8
Auglaize,OH,5.9,32.5
Belmont,OH,12.7,35.1
Brown,OH,13.6,35.1
Butler,OH,10.1,31.2
Carroll,OH,11.6,34.3
Champaign,OH,10.1,33.2
Clark,OH,14.3,36.6
Clermont,OH,9.2,33.0
Clinton,OH,11.3,33.7
Columbiana,OH,13.9,34.2
Coshocton,OH,14.9,34.4
Crawford,OH,12.1,37.4
Cuyahoga,OH,15.3,32.2
Darke,OH,10.2,35.5
Defiance,OH,8.5,33.0
Delaware,OH,3.7,30.2
Erie,OH,10.9,36.1
Fairfield,OH,7.5,32.2
Fayette,OH,13.8,34.4
Franklin,OH,15.4,29.5
Fulton,OH,8.3,32.3
Gallia,OH,16.1,33.8
Geauga,OH,6.2,35.8
Greene,OH,9.0,31.1
Guernsey,OH,13.5,34.8
Hamilton,OH,12.7,29.1
Hancock,OH,9.3,33.2
Hardin,OH,15.1,32.2
Harrison,OH,13.7,35.4
Henry,OH,8.0,33.0
Highland,OH,14.9,34.8
Hocking,OH,14.7,35.1
Holmes,OH,8.4,32.5
Huron,OH,9.8,32.5
Jackson,OH,15.9,36.0
Jefferson,OH,15.3,34.5
Knox,OH,10.9,31.3
Lake,OH,7.9,33.7
Lawrence,OH,19.8,36.1
Licking,OH,9.8,33.0
Logan,OH,10.1,34.1
Lorain,OH,11.9,32.6
Lucas,OH,17.5,31.2
Madison,OH,9.5,31.7
Mahoning,OH,15.8,34.5
Marion,OH,14.3,35.2
Medina,OH,5.9,32.8
Meigs,OH,18.8,37.2
Mercer,OH,5.5,32.4
Miami,OH,8.0,33.1
Monroe,OH,14.6,37.7
Montgomery,OH,14.7,33.0
Morgan,OH,15.0,35.8
Morrow,OH,9.0,33.8
Muskingum,OH,15.0,34.8
Noble,OH,15.0,39.9
Ottawa,OH,7.7,36.4
Paulding,OH,9.3,34.0
Perry,OH,13.1,35.8
Pickaway,OH,12.5,31.3
Pike,OH,17.4,37.1
Portage,OH,9.9,32.1
Preble,OH,8.8,34.7
Putnam,OH,6.5,31.4
Richland,OH,12.7,34.8
Ross,OH,15.0,31.4
Sandusky,OH,10.4,32.2
Scioto,OH,22.8,37.2
Seneca,OH,10.4,32.4
Shelby,OH,9.3,32.1
Stark,OH,13.2,31.9
Summit,OH,12.1,30.4
Trumbull,OH,15.8,33.9
Tuscarawas,OH,11.6,31.8
Union,OH,5.0,29.0
Van Wert,OH,7.4,35.1
Vinton,OH,16.1,37.7
Warren,OH,5.2,31.7
Washington,OH,13.4,32.8
Wayne,OH,9.0,33.2
Williams,OH,10.3,32.2
Wood,OH,9.9,29.4
Wyandot,OH,7.0,35.0
Braxton,WV,17.8,39.5
Cabell,WV,19.9,33.9
Calhoun,WV,20.0,40.4
Clay,WV,23.3,41.6
Doddridge,WV,17.0,39.4
Gilmer,WV,23.0,34.5
Jackson,WV,14.2,39.9
Marshall,WV,13.7,40.2
Mason,WV,17.1,40.1
Ohio,WV,18.1,38.0
Pleasants,WV,13.0,37.0
Putnam,WV,9.9,37.9
Ritchie,WV,16.4,41.3
Roane,WV,20.7,40.7
Tyler,WV,14.4,40.5
Wetzel,WV,15.9,39.2
Wirt,WV,18.0,40.4
Wood,WV,14.4,38.3
Broward,FL,11.0,32.1
Martin,FL,11.1,36.3
Miami-Dade,FL,15.0,31.3
Palm Beach,FL,12.0,33.0
St. Lucie,FL,13.8,34.6
St. Mary's,MD,7.3,34.0
Somerset,MD,22.2,35.2
Worcester,MD,11.7,39.9
Alamance,NC,15.1,34.4
Anson,NC,20.7,35.8
